																						
No.	OPC C2		Piston C2		Steel plate C2 Thickness 2+/-0,05					Friction plate C2 Thickness 2+/-0,07				Adjust plate C2								
	Flatness Max. 0,10	Distance 29.75+/-0,15	Flatness Max.0,20	Distance 3,45+/-0,10	1	2	3	4	5	1	2	3	4	Thickness +/-0,05								
1	-0,010	29,798	-0,031	-3,464	2,000	2,001	2,000	2,004	2,003	2,002	1,997	1,998	1,998	0,999								
2	-0,008	29,794	-0,032	-3,464	1,994	2,003	1,996	2,004	2,000	2,031	1,990	1,998	1,997	0,991								
3	0,009	29,812	-0,038	-3,458	1,995	2,001	1,994	2,001	2,000	2,002	1,992	2,002	2,003	0,988								
4	0,006	29,809	-0,039	-3,457	1,994	2,001	1,993	2,004	2,002	2,004	1,994	2,006	2,001	0,983								
5	0,020	29,822	-0,028	-3,469	1,996	2,001	1,993	2,002	2,002	2,002	1,990	2,008	1,997	0,984								
6	0,013	29,821	-0,009	-3,489	1,995	2,001	1,993	2,000	2,003	2,000	1,990	2,006	1,997	1,016								
7	0,031	29,797	0,000	-3,498	1,995	2,000	1,992	2,002	2,003	1,998	1,994	2,003	1,995	0,992								
8	0,022	29,798	0,005	-3,504	1,992	2,000	1,992	2,002	2,002	1,998	1,994	2,003	1,998	0,989								
9	0,033	29,793	0,016	-3,515	1,993	1,997	1,991	2,001	2,003	2,000	1,994	1,995	1,993	0,983								
10	0,021	29,794	0,027	-3,527	1,995	1,999	2,001	2,004	1,999	1,999	1,993	2,001	1,989	0,987								
11	0,025	29,855	0,035	-3,536	1,992	1,997	1,992	2,002	2,005	2,002	1,994	2,004	1,990	0,984								
12	-0,001	29,857	0,039	-3,539	1,994	1,997	1,997	2,002	2,006	2,002	1,991	2,002	1,989	0,990								
13	0,002	29,849	0,029	-3,530	1,994	1,996	1,996	1,998	2,006	2,002	1,995	2,003	1,990	0,988								
14	-0,026	29,846	0,019	-3,520	1,994	1,992	1,993	1,997	2,002	2,003	1,999	2,004	1,994	0,984								
15	-0,024	29,883	0,012	-3,512	1,997	1,991	1,997	1,994	2,000	2,001	1,999	2,000	1,996	0,985								
16	-0,045	29,882	0,004	-3,505	1,996	1,989	1,996	1,994	2,001	2,004	1,995	2,000	1,994	0,988								
17	-0,035	29,848	0,000	-3,501	1,996	1,989	2,000	1,998	1,997	2,001	1,995	2,004	1,994	0,985								
18	-0,044	29,849	-0,010	-3,489	1,997	1,991	2,001	1,991	1,998	2,002	1,999	2,006	1,996	1,015								
19	0,001	29,803	-0,027	-3,472	2,000	1,991	2,001	1,995	1,998	1,997	1,997	2,005	2,000	0,993								
20	-0,005	29,798	-0,038	-3,461	1,999	1,992	2,003	1,996	1,995	1,994	1,997	2,008	1,997	0,983								
21	0,015	29,766	-0,034	-3,464	2,000	1,993	2,001	1,997	1,994	2,002	1,991	2,004	1,997	0,981								
22	0,009	29,766	-0,030	-3,467	2,002	1,993	2,001	1,995	1,998	1,997	1,988	2,004	1,994	0,983								
23	0,023	29,765	-0,024	-3,472	2,012	1,999	2,001	2,001	1,993	1,999	1,995	2,004	2,000	0,986								
24	0,010	29,769	-0,014	-3,482	2,001	1,997	2,002	1,997	1,995	1,997	1,995	1,998	2,000	1,021								
25	0,029	29,796	-0,003	-3,492	2,004	2,016	2,001	1,996	1,995	1,998	1,995	2,008	2,000	0,981								
26	0,008	29,801	0,001	-3,496	2,004	2,000	2,001	1,999	1,995	2,002	1,995	2,000	1,997	0,981								
27	0,024	29,867	0,011	-3,505	2,004	2,001	2,003	2,000	1,995	2,001	1,999	2,000	1,997	0,989								
28	0,013	29,871	0,021	-3,515	2,001	1,998	2,001	1,998	2,002	2,006	1,995	2,006	1,993	0,987								
29	0,024	29,907	0,033	-3,526	2,003	1,993	2,001	2,000	2,003	2,000	1,994	2,005	1,994	0,989								
30	0,012	29,907	0,038	-3,532	2,000	1,993	2,003	1,998	1,999	2,002	1,999	2,006	2,001	0,989								
31	0,021	29,908	0,038	-3,532	2,000	1,999	2,001	1,998	1,997	2,000	1,999	2,003	1,997	0,981								
32	-0,017	29,904	0,031	-3,524	1,999	1,997	2,002	2,006	1,999	2,005	1,993	2,018	1,997	0,988								
33	-0,030	29,865	0,015	-3,509	2,000	2,003	2,003	1,999	1,997					0,987								
34	-0,059	29,863	0,005	-3,499	2,001	2,000	2,001	2,004	2,000					0,988								
35	-0,033	29,852	-0,003	-3,490	1,999	2,001	1,996	2,000	2,002					0,983								
36	-0,036	29,851	-0,017	-3,477	2,000	1,993	2,001	2,000	2,003					1,017								
37																						
38																						
39																						
40																						
																						
																						
